handle,title,image,price,oldPrice,page
"psg-paris-saint-germain-maillot-foot-concept-bleu-2025-2026","PSG Paris Saint Germain maillot foot concept bleu 2025 2026","https://img.fantaskycdn.com/a58b16078391a072f06d76d76d9132d8.jpg",32.99,,1
"psg-paris-saint-germain-maillot-foot-fourth-2026-2027-noir","PSG Paris Saint Germain Maillot Foot Fourth 2026 2027 Noir","https://img.fantaskycdn.com/a41e6752964780b6ed4297339952a34a.jpg",32.99,,1
"paris-saint-germain-psg-maillot-foot-domicile-2025-2026","Paris Saint Germain PSG maillot foot domicile 2025 2026","https://img.fantaskycdn.com/f039221c3324cafdb1b626edbd747241.jpg",32.99,,1
"psg-paris-saint-germain-maillot-foot-2026-2027","PSG Paris Saint Germain maillot foot 2026 2027","https://img.fantaskycdn.com/a3239fd0261d17bd05b79426993a4b3a.jpg",32.99,,1
"paris-saint-germain-psg-maillot-foot-fourth-2025-2026","Paris Saint Germain PSG maillot foot fourth 2025 2026","https://img.fantaskycdn.com/b07ae9a592bc8824539dd817846d11b7.jpg",32.99,,1
"paris-saint-germain-psg-maillot-foot-concept-2025-2026","Paris Saint Germain PSG maillot foot concept 2025 2026","https://img.fantaskycdn.com/f6428e793ea2ec04bcf4918a6186fd47.jpg",32.99,,1
"paris-saint-germain-psg-maillot-foot-third-rouge-2025-2026","Paris Saint Germain PSG maillot foot third rouge 2025 2026","https://img.fantaskycdn.com/ec9b2d47e84d384d8d37da65b4dc2da9.jpg",32.99,,1
"paris-saint-germain-psg-maillot-foot-third-2025-2026-entrainement","Paris Saint Germain PSG  maillot foot third 2025 2026 Entraînement","https://img.fantaskycdn.com/b337f27c68b9a4c160aaf7a955125bbd.jpg",32.99,,1
"paris-saint-germain-psg-maillot-foot-etoile-2024-2025-domicile-ligue-des-champions","Paris Saint Germain PSG maillot foot étoile 2024 2025 domicile Ligue des Champions","https://img.fantaskycdn.com/e9f5eeee69f09f0c3d2c27580edebf48.jpeg",32.99,,1
"psg-paris-saint-germain-maillot-foot-exterieur-2025-2026","PSG Paris Saint Germain maillot foot extérieur 2025 2026","https://img.fantaskycdn.com/7428381c4b3a6b9033bec4e5110acc6b.jpg",32.99,,1
"psg-paris-saint-germain-maillot-foot-concept-2026-2027-rose","PSG Paris Saint Germain Maillot Foot Concept 2026 2027 Rose","https://img.fantaskycdn.com/2a44f3fa3417d7a73504a38834702aa3.jpg",32.99,,1
"paris-saint-germain-psg-maillot-foot-etoile-2024-2025-domicile-ligue-des-champions-mgtr","Paris Saint Germain PSG maillot foot étoile 2024 2025 domicile Ligue des Champions","https://img.fantaskycdn.com/3e1fc59617216e35555e9fd5d70c8e25.jpg",32.99,,1
"psg-paris-saint-germain-maillot-foot-concept-2025-2026-9dep","PSG Paris Saint Germain maillot foot concept 2025 2026","https://img.fantaskycdn.com/b83a7cfa71d0e81be1347c5eae863e88.jpg",32.99,,2
"kit-enfant-psg-paris-saint-germain-b9xn","Kit Enfant PSG Paris Saint Germain","https://img.fantaskycdn.com/54e5062c859e56aa8bcaed5effbfc61b.jpg",24.99,,2
"kit-enfant-psg-paris-saint-germain-2024-2025","Kit Enfant PSG Paris Saint Germain  2024 2025","https://img.fantaskycdn.com/845200732752ba4a68a7e4a204b106d6.jpg",24.99,,2
"paris-fc-maillot-foot-third-2024-2025-ninho-jefe-orange","Paris FC maillot foot third 2024 2025 Ninho Jefe Orange","https://img.fantaskycdn.com/cb63e9455050e88d441806f76855a305.jpg",32.99,,2
"paris-maillot-retro-2018-2020","Paris Maillot Retro 2018 2019","https://img.fantaskycdn.com/89a33aa4ceda91f769066e0499dbd88c.jpeg",35.99,,2
"paris-saint-germain-psg-maillot-foot-concept-2026-2027","Paris Saint Germain PSG maillot foot concept 2026 2027","https://img.fantaskycdn.com/d0a20e913991bdccf0657875b5590d1f.jpg",32.99,,2
